lane,index,frame,bin,re,im
A,505,6,121,-1,0
A,506,6,122,-2,0
A,507,6,123,1,0
A,508,6,124,-1,0
A,509,6,125,1,0
A,510,6,126,0,0
A,511,6,127,0,0
A,512,8,0,1,0
A,513,8,1,-3,0
A,514,8,2,-1,0
A,515,8,3,-1,0
A,516,8,4,1,0
A,517,8,5,-3,0
A,518,8,6,-1,0
A,519,8,7,0,0
A,520,8,8,1,0
A,521,8,9,-2,0
A,522,8,10,-1,0
A,523,8,11,-1,0
A,524,8,12,-1,0
A,525,8,13,-2,0
A,526,8,14,-4,0
A,527,8,15,1,0
A,528,8,16,1,0
A,529,8,17,-3,0
A,530,8,18,-2,0
A,531,8,19,-1,0
A,532,8,20,-1,0
A,533,8,21,-3,0
A,534,8,22,-4,0
A,535,8,23,-1,0
A,536,8,24,0,0
A,537,8,25,-3,0
A,538,8,26,-2,0
A,539,8,27,-2,0
A,540,8,28,-1,0
A,541,8,29,-2,0
A,542,8,30,-3,0
A,543,8,31,0,0
A,544,8,32,0,0
A,545,8,33,-4,0
A,546,8,34,-2,0
A,547,8,35,-2,0
A,548,8,36,1,0
A,549,8,37,-5,0
A,550,8,38,-4,0
A,551,8,39,1,0
A,552,8,40,1,0
A,553,8,41,-4,0
A,554,8,42,-2,0
A,555,8,43,-1,0
A,556,8,44,-1,0
A,557,8,45,-4,0
A,558,8,46,-5,0
A,559,8,47,0,0
A,560,8,48,0,0
A,561,8,49,-8,0
A,562,8,50,-4,0
A,563,8,51,-3,0
A,564,8,52,-2,0
A,565,8,53,-6,0
A,566,8,54,-6,0
A,567,8,55,0,0
A,568,8,56,-1,0
A,569,8,57,-8,0
A,570,8,58,-7,0
A,571,8,59,-1,0
A,572,8,60,-4,0
A,573,8,61,-5,0
A,574,8,62,-8,0
A,575,8,63,0,0
A,576,8,64,-2,0
A,577,8,65,-1,0
A,578,8,66,1,0
A,579,8,67,-2,0
A,580,8,68,-1,0
A,581,8,69,-2,0
A,582,8,70,0,0
A,583,8,71,-1,0
A,584,8,72,0,0
A,585,8,73,0,0
A,586,8,74,1,0
A,587,8,75,-2,0
A,588,8,76,0,0
A,589,8,77,-2,0
A,590,8,78,0,0
A,591,8,79,-1,0
A,592,8,80,0,0
A,593,8,81,0,0
A,594,8,82,0,0
A,595,8,83,-2,0
A,596,8,84,0,0
A,597,8,85,-2,0
A,598,8,86,0,0
A,599,8,87,-1,0
A,600,8,88,-1,0
A,601,8,89,0,0
A,602,8,90,1,0
A,603,8,91,-3,0
A,604,8,92,1,0
A,605,8,93,1,0
A,606,8,94,1,0
A,607,8,95,0,0
A,608,8,96,0,0
A,609,8,97,-3,0
A,610,8,98,0,0
A,611,8,99,-2,0
A,612,8,100,-1,0
A,613,8,101,-3,0
A,614,8,102,-3,0
A,615,8,103,-1,0
A,616,8,104,-1,0
A,617,8,105,-3,0
A,618,8,106,-2,0
A,619,8,107,-2,0
A,620,8,108,-1,0
A,621,8,109,-2,0
A,622,8,110,-2,0
A,623,8,111,0,0
A,624,8,112,-1,0
A,625,8,113,-2,0
A,626,8,114,0,0
A,627,8,115,-3,0
A,628,8,116,0,0
A,629,8,117,-1,0
A,630,8,118,-1,0
A,631,8,119,0,0
A,632,8,120,-1,0
A,633,8,121,-2,0
A,634,8,122,-1,0
A,635,8,123,-2,0
A,636,8,124,1,0
A,637,8,125,-2,0
A,638,8,126,-2,0
A,639,8,127,-1,0
A,640,10,0,-1,0
A,641,10,1,3,0
A,642,10,2,3,0
A,643,10,3,-1,0
A,644,10,4,1,0
A,645,10,5,1,0
A,646,10,6,3,0
A,647,10,7,-2,0
A,648,10,8,0,0
A,649,10,9,3,0
A,650,10,10,3,0
A,651,10,11,-2,0
A,652,10,12,2,0
A,653,10,13,0,0
A,654,10,14,4,0
A,655,10,15,-1,0
A,656,10,16,0,0
A,657,10,17,2,0
A,658,10,18,4,0
A,659,10,19,0,0
A,660,10,20,2,0
A,661,10,21,1,0
A,662,10,22,2,0
A,663,10,23,0,0
A,664,10,24,0,0
A,665,10,25,1,0
A,666,10,26,4,0
A,667,10,27,-1,0
A,668,10,28,2,0
A,669,10,29,0,0
A,670,10,30,4,0
A,671,10,31,0,0
A,672,10,32,0,0
A,673,10,33,4,0
A,674,10,34,3,0
A,675,10,35,2,0
A,676,10,36,1,0
A,677,10,37,5,0
A,678,10,38,6,0
A,679,10,39,0,0
A,680,10,40,0,0
A,681,10,41,5,0
A,682,10,42,5,0
A,683,10,43,1,0
A,684,10,44,2,0
A,685,10,45,3,0
A,686,10,46,5,0
A,687,10,47,1,0
A,688,10,48,1,0
A,689,10,49,6,0
A,690,10,50,6,0
A,691,10,51,1,0
A,692,10,52,2,0
A,693,10,53,1,0
A,694,10,54,4,0
A,695,10,55,0,0
A,696,10,56,2,0
A,697,10,57,5,0
A,698,10,58,4,0
A,699,10,59,1,0
A,700,10,60,2,0
A,701,10,61,3,0
A,702,10,62,7,0
A,703,10,63,1,0
A,704,10,64,0,0
A,705,10,65,-2,0
A,706,10,66,0,0
A,707,10,67,-2,0
A,708,10,68,0,0
A,709,10,69,-3,0
A,710,10,70,-1,0
A,711,10,71,-1,0
A,712,10,72,0,0
A,713,10,73,-1,0
A,714,10,74,-1,0
A,715,10,75,0,0
A,716,10,76,-1,0
A,717,10,77,-2,0
A,718,10,78,-2,0
A,719,10,79,0,0
A,720,10,80,0,0
A,721,10,81,-1,0
A,722,10,82,1,0
A,723,10,83,-2,0
A,724,10,84,2,0
A,725,10,85,-1,0
A,726,10,86,0,0
A,727,10,87,0,0
A,728,10,88,0,0
A,729,10,89,0,0
A,730,10,90,2,0
A,731,10,91,-1,0
A,732,10,92,2,0
A,733,10,93,0,0
A,734,10,94,1,0
A,735,10,95,0,0
A,736,10,96,-1,0
A,737,10,97,3,0
A,738,10,98,2,0
A,739,10,99,-1,0
A,740,10,100,1,0
A,741,10,101,2,0
A,742,10,102,3,0
A,743,10,103,-2,0
A,744,10,104,-1,0
A,745,10,105,3,0
A,746,10,106,3,0
A,747,10,107,0,0
A,748,10,108,2,0
A,749,10,109,1,0
A,750,10,110,4,0
A,751,10,111,0,0
A,752,10,112,0,0
A,753,10,113,3,0
A,754,10,114,1,0
A,755,10,115,0,0
A,756,10,116,1,0
A,757,10,117,1,0
A,758,10,118,4,0
A,759,10,119,0,0
A,760,10,120,-1,0
A,761,10,121,3,0
A,762,10,122,3,0
A,763,10,123,-1,0
A,764,10,124,3,0
A,765,10,125,1,0
A,766,10,126,4,0
A,767,10,127,0,0
A,768,12,0,0,0
A,769,12,1,-3,0
A,770,12,2,-2,0
A,771,12,3,-1,0
A,772,12,4,-1,0
A,773,12,5,-2,0
A,774,12,6,-3,0
A,775,12,7,1,0
A,776,12,8,0,0
A,777,12,9,-3,0
A,778,12,10,-4,0
A,779,12,11,0,0
A,780,12,12,-2,0
A,781,12,13,-2,0
A,782,12,14,-5,0
A,783,12,15,0,0
A,784,12,16,-1,0
A,785,12,17,-4,0
A,786,12,18,-3,0
A,787,12,19,-2,0
A,788,12,20,0,0
A,789,12,21,-3,0
A,790,12,22,-4,0
A,791,12,23,0,0
A,792,12,24,-1,0
A,793,12,25,-2,0
A,794,12,26,-1,0
A,795,12,27,-1,0
A,796,12,28,-2,0
A,797,12,29,-2,0
A,798,12,30,-3,0
A,799,12,31,0,0
A,800,12,32,1,0
A,801,12,33,-3,0
A,802,12,34,1,0
A,803,12,35,-3,0
A,804,12,36,0,0
A,805,12,37,-4,0
A,806,12,38,-2,0
A,807,12,39,0,0
A,808,12,40,0,0
A,809,12,41,-3,0
A,810,12,42,-1,0
A,811,12,43,-2,0
A,812,12,44,0,0
A,813,12,45,-3,0
A,814,12,46,-3,0
A,815,12,47,0,0
A,816,12,48,0,0
A,817,12,49,-3,0
A,818,12,50,-1,0
A,819,12,51,-2,0
A,820,12,52,0,0
A,821,12,53,-4,0
A,822,12,54,-3,0
A,823,12,55,-2,0
A,824,12,56,0,0
A,825,12,57,-4,0
A,826,12,58,-2,0
A,827,12,59,-1,0
A,828,12,60,-1,0
A,829,12,61,-2,0
A,830,12,62,-4,0
A,831,12,63,1,0
A,832,12,64,-1,0
A,833,12,65,0,0
A,834,12,66,2,0
A,835,12,67,-3,0
A,836,12,68,1,0
A,837,12,69,-1,0
A,838,12,70,2,0
A,839,12,71,-1,0
A,840,12,72,1,0
A,841,12,73,0,0
A,842,12,74,2,0
A,843,12,75,-2,0
A,844,12,76,2,0
A,845,12,77,0,0
A,846,12,78,2,0
A,847,12,79,0,0
A,848,12,80,-1,0
A,849,12,81,1,0
A,850,12,82,3,0
A,851,12,83,-1,0
A,852,12,84,1,0
