sample,re,im,,,,,
1075,-176,0,,,,,
1076,-271,0,,,,,
1077,-291,0,,,,,
1078,-165,0,,,,,
1079,-64,0,,,,,
1080,-195,0,,,,,
1081,-219,0,,,,,
1082,-164,0,,,,,
1083,-87,0,,,,,
1084,-47,0,,,,,
1085,-27,0,,,,,
1086,9,0,,,,,
1087,-63,0,,,,,
1088,-75,0,,,,,
1089,10,0,,,,,
1090,126,0,,,,,
1091,55,0,,,,,
1092,-24,0,,,,,
1093,-36,0,,,,,
1094,-5,0,,,,,
1095,104,0,,,,,
1096,5,0,,,,,
1097,-120,0,,,,,
1098,-111,0,,,,,
1099,-131,0,,,,,
1100,-208,0,,,,,
1101,-278,0,,,,,
1102,-297,0,,,,,
1103,-384,0,,,,,
1104,-558,0,,,,,
1105,-582,0,,,,,
1106,-509,0,,,,,
1107,-571,0,,,,,
1108,-619,0,,,,,
1109,-557,0,,,,,
1110,-525,0,,,,,
1111,-466,0,,,,,
1112,-513,0,,,,,
1113,-605,0,,,,,
1114,-623,0,,,,,
1115,-656,0,,,,,
1116,-613,0,,,,,
1117,-658,0,,,,,
1118,-774,0,,,,,
1119,-898,0,,,,,
1120,-942,0,,,,,
1121,-888,0,,,,,
1122,-832,0,,,,,
1123,-880,0,,,,,
1124,-906,0,,,,,
1125,-903,0,,,,,
1126,-883,0,,,,,
1127,-802,0,,,,,
1128,-705,0,,,,,
1129,-732,0,,,,,
1130,-762,0,,,,,
1131,-730,0,,,,,
1132,-768,0,,,,,
1133,-809,0,,,,,
1134,-723,0,,,,,
1135,-567,0,,,,,
1136,-463,0,,,,,
1137,-510,0,,,,,
1138,-483,0,,,,,
1139,-335,0,,,,,
1140,-287,0,,,,,
1141,-149,0,,,,,
1142,-83,0,,,,,
1143,-55,0,,,,,
1144,-87,0,,,,,
1145,-30,0,,,,,
1146,31,0,,,,,
1147,90,0,,,,,
1148,133,0,,,,,
1149,75,0,,,,,
1150,9,0,,,,,
1151,21,0,,,,,
1152,39,0,,,,,
1153,61,0,,,,,
1154,133,0,,,,,
1155,161,0,,,,,
1156,20,0,,,,,
1157,-42,0,,,,,
1158,-37,0,,,,,
1159,52,0,,,,,
1160,66,0,,,,,
1161,-25,0,,,,,
1162,-4,0,,,,,
1163,-44,0,,,,,
1164,66,0,,,,,
1165,155,0,,,,,
1166,210,0,,,,,
1167,256,0,,,,,
1168,279,0,,,,,
1169,404,0,,,,,
1170,430,0,,,,,
1171,370,0,,,,,
1172,405,0,,,,,
1173,362,0,,,,,
1174,290,0,,,,,
1175,369,0,,,,,
1176,427,0,,,,,
1177,469,0,,,,,
1178,436,0,,,,,
1179,396,0,,,,,
1180,348,0,,,,,
1181,301,0,,,,,
1182,147,0,,,,,
1183,44,0,,,,,
1184,40,0,,,,,
1185,0,0,,,,,
1186,-31,0,,,,,
